iter	Passed	Remaining
0	113	56414
1	173	43301
2	209	34725
3	241	29933
4	274	27142
5	299	24696
6	328	23169
7	360	22150
8	380	20767
9	436	21373
10	472	21015
11	505	20559
12	525	19691
13	567	19697
14	602	19491
15	626	18965
16	651	18502
17	684	18334
18	720	18249
19	753	18084
20	778	17758
21	799	17361
22	812	16852
23	834	16550
24	863	16411
25	889	16223
26	975	17093
27	1011	17053
28	1054	17131
29	1095	17166
30	1110	16797
31	1133	16583
32	1168	16536
33	1224	16789
34	1242	16504
35	1261	16254
36	1276	15979
37	1305	15874
38	1331	15742
39	1386	15946
40	1471	16471
41	1524	16627
42	1568	16670
43	1613	16721
44	1664	16829
45	1707	16848
46	1745	16819
47	1783	16796
48	1835	16895
49	1882	16941
50	1921	16912
51	1946	16769
52	1968	16603
53	2003	16544
54	2036	16477
55	2062	16351
56	2094	16275
57	2128	16222
58	2153	16094
59	2183	16013
60	2212	15920
61	2247	15879
62	2266	15722
63	2288	15587
64	2306	15434
65	2351	15461
66	2381	15388
67	2416	15351
68	2445	15274
69	2470	15173
70	2493	15069
71	2523	15000
72	2542	14873
73	2562	14752
74	2594	14699
75	2610	14566
76	2632	14460
77	2659	14386
78	2693	14354
79	2715	14258
80	2740	14174
81	2751	14027
82	2769	13915
83	2795	13841
84	2817	13758
85	2844	13695
86	2871	13631
87	2891	13539
88	2923	13502
89	2949	13435
90	2972	13361
91	2995	13286
92	3016	13201
93	3036	13115
94	3071	13092
95	3090	13006
96	3113	12934
97	3132	12848
98	3152	12768
99	3166	12667
100	3182	12573
101	3197	12474
102	3213	12387
103	3222	12269
104	3231	12155
105	3238	12037
106	3255	11957
107	3277	11895
108	3316	11897
109	3341	11846
110	3366	11797
111	3416	11834
112	3462	11858
113	3483	11793
114	3511	11756
115	3530	11685
116	3572	11695
117	3607	11678
118	3677	11773
119	3746	11862
120	3796	11892
121	3825	11854
122	3836	11760
123	3854	11689
124	3875	11625
125	3897	11567
126	3906	11474
127	3923	11402
128	3930	11305
129	3945	11230
130	3953	11135
131	3960	11040
132	3967	10946
133	3979	10869
134	3988	10784
135	3997	10698
136	4004	10611
137	4012	10526
138	4020	10442
139	4028	10359
140	4041	10289
141	4055	10224
142	4076	10177
143	4094	10123
144	4108	10057
145	4134	10024
146	4154	9977
147	4173	9926
148	4188	9867
149	4201	9802
150	4217	9747
151	4233	9691
152	4257	9656
153	4273	9602
154	4286	9540
155	4299	9480
156	4315	9427
157	4335	9384
158	4376	9385
159	4417	9388
160	4468	9408
161	4497	9384
162	4514	9333
163	4571	9366
164	4615	9370
165	4677	9411
166	4731	9435
167	4784	9455
168	4797	9395
169	4852	9418
170	4912	9451
171	4964	9467
172	5026	9500
173	5097	9550
174	5199	9655
175	5236	9639
176	5290	9654
177	5373	9720
178	5443	9762
179	5494	9768
180	5539	9763
181	5597	9779
182	5652	9791
183	5732	9845
184	5820	9910
185	5860	9893
186	5899	9874
187	5934	9849
188	5960	9808
189	6041	9857
190	6093	9858
191	6127	9829
192	6188	9844
193	6213	9801
194	6243	9764
195	6277	9736
196	6311	9706
197	6350	9685
198	6405	9688
199	6449	9674
200	6509	9682
201	6569	9692
202	6637	9710
203	6657	9659
204	6678	9610
205	6709	9576
206	6905	9774
207	6940	9742
208	6958	9688
209	6978	9636
210	6997	9584
211	7006	9518
212	7046	9494
213	7123	9520
214	7165	9498
215	7214	9485
216	7318	9544
217	7360	9521
218	7398	9493
219	7438	9467
220	7464	9423
221	7515	9411
222	7572	9406
223	7593	9356
224	7668	9373
225	7763	9412
226	7845	9435
227	7895	9419
228	7967	9428
229	8062	9464
230	8177	9522
231	8206	9480
232	8311	9524
233	8343	9484
234	8433	9510
235	8510	9519
236	8593	9536
237	8623	9492
238	8696	9496
239	8839	9575
240	8874	9537
241	8999	9594
242	9037	9557
243	9086	9533
244	9139	9512
245	9160	9457
246	9189	9412
247	9227	9376
248	9276	9351
249	9305	9305
250	9341	9266
251	9371	9222
252	9400	9177
253	9438	9141
254	9459	9088
255	9527	9080
256	9580	9058
257	9635	9038
258	9666	8995
259	9704	8957
260	9733	8912
261	9785	8889
262	9812	8842
263	9847	8803
264	9876	8758
265	9895	8705
266	9910	8648
267	9921	8588
268	9930	8527
269	9936	8464
270	9941	8401
271	9946	8337
272	9951	8274
273	9960	8215
274	9979	8164
275	10015	8128
276	10033	8077
277	10058	8032
278	10093	7995
279	10109	7943
280	10130	7895
281	10148	7845
282	10165	7795
283	10185	7747
284	10216	7706
285	10261	7678
286	10277	7627
287	10295	7578
288	10304	7523
289	10344	7491
290	10382	7456
291	10416	7420
292	10435	7372
293	10443	7317
294	10475	7279
295	10503	7239
296	10536	7202
297	10560	7158
298	10608	7131
299	10643	7095
300	10672	7055
301	10737	7040
302	10773	7004
303	10831	6983
304	10883	6958
305	10933	6931
306	10997	6913
307	11047	6886
308	11071	6843
309	11092	6798
310	11125	6761
311	11146	6716
312	11183	6681
313	11215	6643
314	11230	6595
315	11243	6546
316	11286	6515
317	11316	6476
318	11348	6439
319	11366	6393
320	11398	6355
321	11426	6316
322	11452	6275
323	11487	6239
324	11516	6201
325	11537	6158
326	11577	6125
327	11610	6088
328	11623	6041
329	11645	5999
330	11678	5962
331	11700	5920
332	11725	5880
333	11751	5840
334	11786	5805
335	11824	5771
336	11855	5734
337	11877	5692
338	11932	5667
339	11965	5631
340	11992	5591
341	12036	5560
342	12073	5526
343	12103	5488
344	12127	5448
345	12152	5408
346	12175	5368
347	12204	5330
348	12227	5290
349	12290	5267
350	12312	5226
351	12328	5183
352	12346	5141
353	12354	5095
354	12370	5052
355	12388	5011
356	12404	4968
357	12442	4935
358	12465	4896
359	12491	4857
360	12517	4819
361	12545	4782
362	12576	4746
363	12624	4716
364	12665	4684
365	12709	4653
366	12728	4612
367	12751	4574
368	12793	4541
369	12814	4502
370	12843	4465
371	12875	4430
372	12910	4395
373	12933	4357
374	12953	4317
375	12974	4278
376	13030	4251
377	13048	4211
378	13067	4171
379	13084	4131
380	13094	4089
381	13155	4063
382	13179	4026
383	13242	4000
384	13290	3969
385	13310	3931
386	13325	3890
387	13340	3850
388	13356	3811
389	13377	3773
390	13391	3733
391	13415	3696
392	13438	3658
393	13458	3620
394	13492	3586
395	13511	3548
396	13532	3510
397	13548	3472
398	13574	3436
399	13592	3398
400	13611	3360
401	13629	3322
402	13678	3292
403	13709	3257
404	13728	3220
405	13762	3186
406	13780	3148
407	13805	3113
408	13836	3078
409	13849	3040
410	13884	3006
411	13905	2970
412	13942	2936
413	13970	2901
414	13995	2866
415	14023	2831
416	14045	2795
417	14067	2759
418	14090	2723
419	14108	2687
420	14127	2651
421	14141	2613
422	14165	2578
423	14201	2545
424	14220	2509
425	14243	2474
426	14281	2441
427	14303	2406
428	14321	2370
429	14346	2335
430	14362	2299
431	14378	2263
432	14387	2226
433	14396	2189
434	14410	2153
435	14419	2116
436	14442	2082
437	14452	2045
438	14466	2010
439	14478	1974
440	14496	1939
441	14507	1903
442	14523	1868
443	14536	1833
444	14549	1798
445	14565	1763
446	14580	1728
447	14609	1695
448	14628	1661
449	14650	1627
450	14667	1593
451	14688	1559
452	14707	1525
453	14741	1493
454	14762	1460
455	14782	1426
456	14802	1392
457	14822	1359
458	14847	1326
459	14864	1292
460	14880	1258
461	14898	1225
462	14910	1191
463	14927	1158
464	14948	1125
465	14973	1092
466	14982	1058
467	14998	1025
468	15018	992
469	15036	959
470	15061	927
471	15082	894
472	15098	861
473	15114	829
474	15144	797
475	15161	764
476	15183	732
477	15215	700
478	15259	669
479	15297	637
480	15324	605
481	15354	573
482	15390	541
483	15454	510
484	15503	479
485	15568	448
486	15603	416
487	15654	384
488	15692	353
489	15718	320
490	15740	288
491	15754	256
492	15774	223
493	15790	191
494	15798	159
495	15806	127
496	15830	95
497	15884	63
498	15897	31
499	15934	0
